metric,run_id,algorithm,update_type,update_freq,beta,last_value,auc,auc_normalized,early_slope,half_life_step
student_gt_prob_img,tracer_ema_up_freq_1,tracer,ema,1.0,,0.7483400106430054,3567.6377770900726,0.7111097821585333,0.0001795518473329851,
student_gt_prob_img,tracer_ema_up_freq_500,tracer,ema,500.0,,0.7050000429153442,3473.043556511402,0.692255044152025,0.00025412178942779294,
student_gt_prob_img,tracer_beta_0.2,tracer,,,0.2,0.6540426015853882,3243.427791401744,0.6464875007775757,0.00014263221447454927,
student_gt_prob_img,tracer_beta_1.0,tracer,,,1.0,0.6921463012695312,3445.6232990175486,0.6867895752475307,0.00018465033968892845,
student_gt_prob_img,tracer_beta_1.5,tracer,,,1.5,0.6986397504806519,3476.2829610705376,0.6929007297328771,0.0001864434647608467,
student_gt_prob_img,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.6498273015022278,3198.1014962643385,0.6374529591914891,0.00011585657541055526,
student_gt_prob_img,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.6336628198623657,3120.0062299221754,0.6218868307597276,8.308445729109875e-05,
student_gt_prob_img,tracer_bma_up_freq_5,tracer,bma,5.0,,0.674822211265564,3357.1387223750353,0.6691526255480099,0.00017181597734541103,
student_gt_prob_img,tracer_bma_up_freq_50,tracer,bma,50.0,,0.6725789308547974,3339.689847305417,0.6656746755640325,0.00017758617685881837,
student_gt_prob_img,tracer_bma_up_freq_500,tracer,bma,500.0,,0.6588349342346191,3249.571503058076,0.647712079541046,0.00014707051169437024,
teacher_accuracy_combined,tracer_ema_up_freq_1,tracer,ema,1.0,,0.76953125,3759.07861328125,0.7492682107395855,0.00014186705184320654,
teacher_accuracy_combined,tracer_ema_up_freq_500,tracer,ema,500.0,,0.736328125,3689.998046875,0.7354989130704134,0.0003779217773121093,
teacher_accuracy_combined,tracer_beta_0.2,tracer,,,0.2,0.69921875,3365.0625,0.6707320111619153,0.00013800659890139528,
teacher_accuracy_combined,tracer_beta_1.0,tracer,,,1.0,0.7177734375,3660.0419921875,0.7295280032263843,0.00018926925707702844,
teacher_accuracy_combined,tracer_beta_1.5,tracer,,,1.5,0.71875,3690.09912109375,0.7355190594165865,0.0001829249348247381,
teacher_accuracy_combined,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.681640625,3284.89501953125,0.6547528442357176,9.350451464305757e-05,
