"Step","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.5 - Teacher_teacher_accuracy_combined","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.0 - Teacher_teacher_accuracy_combined","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_0.2 - Teacher_teacher_accuracy_combined","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MAX"
"13","0.6435546875","0.6435546875","0.6435546875","0.5302734375","0.5302734375","0.5302734375","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.556640625","0.556640625","0.556640625","0.53515625","0.53515625","0.53515625","0.5537109375","0.5537109375","0.5537109375","0.541015625","0.541015625","0.541015625","0.537109375","0.537109375","0.537109375"
"14","0.626953125","0.626953125","0.626953125","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.5888671875","0.5888671875","0.5888671875","0.5615234375","0.5615234375","0.5615234375","0.583984375","0.583984375","0.583984375","0.572265625","0.572265625","0.572265625","0.5625","0.5625","0.5625"
"15","0.6123046875","0.6123046875","0.6123046875","0.53125","0.53125","0.53125","0.5283203125","0.5283203125","0.5283203125","0.5283203125","0.5283203125","0.5283203125","0.5283203125","0.5283203125","0.5283203125","0.583984375","0.583984375","0.583984375","0.5400390625","0.5400390625","0.5400390625","0.572265625","0.572265625","0.572265625","0.552734375","0.552734375","0.552734375","0.544921875","0.544921875","0.544921875"
"16","0.5947265625","0.5947265625","0.5947265625","0.52734375","0.52734375","0.52734375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5703125","0.5703125","0.5703125","0.54296875","0.54296875","0.54296875","0.5693359375","0.5693359375","0.5693359375","0.5517578125","0.5517578125","0.5517578125","0.548828125","0.548828125","0.548828125"
"17","0.6201171875","0.6201171875","0.6201171875","0.5380859375","0.5380859375","0.5380859375","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.580078125","0.580078125","0.580078125","0.5537109375","0.5537109375","0.5537109375","0.5751953125","0.5751953125","0.5751953125","0.5693359375","0.5693359375","0.5693359375","0.55859375","0.55859375","0.55859375"
"18","0.666015625","0.666015625","0.666015625","0.5537109375","0.5537109375","0.5537109375","0.552734375","0.552734375","0.552734375","0.552734375","0.552734375","0.552734375","0.552734375","0.552734375","0.552734375","0.626953125","0.626953125","0.626953125","0.5634765625","0.5634765625","0.5634765625","0.609375","0.609375","0.609375","0.5830078125","0.5830078125","0.5830078125","0.576171875","0.576171875","0.576171875"
"19","0.630859375","0.630859375","0.630859375","0.544921875","0.544921875","0.544921875","0.548828125","0.548828125","0.548828125","0.548828125","0.548828125","0.548828125","0.548828125","0.548828125","0.548828125","0.595703125","0.595703125","0.595703125","0.552734375","0.552734375","0.552734375","0.5849609375","0.5849609375","0.5849609375","0.5693359375","0.5693359375","0.5693359375","0.5595703125","0.5595703125","0.5595703125"
"20","0.619140625","0.619140625","0.619140625","0.560546875","0.560546875","0.560546875","0.55859375","0.55859375","0.55859375","0.55859375","0.55859375","0.55859375","0.55859375","0.55859375","0.55859375","0.6259765625","0.6259765625","0.6259765625","0.580078125","0.580078125","0.580078125","0.615234375","0.615234375","0.615234375","0.59375","0.59375","0.59375","0.5849609375","0.5849609375","0.5849609375"
"21","0.6376953125","0.6376953125","0.6376953125","0.5390625","0.5390625","0.5390625","0.5361328125","0.5361328125","0.5361328125","0.5361328125","0.5361328125","0.5361328125","0.5361328125","0.5361328125","0.5361328125","0.6123046875","0.6123046875","0.6123046875","0.5478515625","0.5478515625","0.5478515625","0.59375","0.59375","0.59375","0.568359375","0.568359375","0.568359375","0.5517578125","0.5517578125","0.5517578125"
"22","0.646484375","0.646484375","0.646484375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.5302734375","0.603515625","0.603515625","0.603515625","0.55078125","0.55078125","0.55078125","0.5966796875","0.5966796875","0.5966796875","0.5693359375","0.5693359375","0.5693359375","0.55078125","0.55078125","0.55078125"
"23","0.64453125","0.64453125","0.64453125","0.55078125","0.55078125","0.55078125","0.5517578125","0.5517578125","0.5517578125","0.5517578125","0.5517578125","0.5517578125","0.5517578125","0.5517578125","0.5517578125","0.595703125","0.595703125","0.595703125","0.56640625","0.56640625","0.56640625","0.59375","0.59375","0.59375","0.5732421875","0.5732421875","0.5732421875","0.5625","0.5625","0.5625"
"24","0.6328125","0.6328125","0.6328125","0.5078125","0.5078125","0.5078125","0.5126953125","0.5126953125","0.5126953125","0.5126953125","0.5126953125","0.5126953125","0.5126953125","0.5126953125","0.5126953125","0.5947265625","0.5947265625","0.5947265625","0.529296875","0.529296875","0.529296875","0.58203125","0.58203125","0.58203125","0.5458984375","0.5458984375","0.5458984375","0.52734375","0.52734375","0.52734375"
