"Step","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MAX","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MAX"
"13","0.980859375","0.980859375","0.980859375","0.845703125","0.845703125","0.845703125","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.896484375","0.896484375","0.896484375","0.862109375","0.862109375","0.862109375","0.880859375","0.880859375","0.880859375","0.866015625","0.866015625","0.866015625","0.853515625","0.853515625","0.853515625"
"14","0.984375","0.984375","0.984375","0.84140625","0.84140625","0.84140625","0.840234375","0.840234375","0.840234375","0.840234375","0.840234375","0.840234375","0.840234375","0.840234375","0.840234375","0.896875","0.896875","0.896875","0.85234375","0.85234375","0.85234375","0.887890625","0.887890625","0.887890625","0.85859375","0.85859375","0.85859375","0.85234375","0.85234375","0.85234375"
"15","0.988671875","0.988671875","0.988671875","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.842578125","0.905078125","0.905078125","0.905078125","0.85546875","0.85546875","0.85546875","0.89296875","0.89296875","0.89296875","0.8625","0.8625","0.8625","0.858984375","0.858984375","0.858984375"
"16","0.98359375","0.98359375","0.98359375","0.83828125","0.83828125","0.83828125","0.834765625","0.834765625","0.834765625","0.834765625","0.834765625","0.834765625","0.834765625","0.834765625","0.834765625","0.89921875","0.89921875","0.89921875","0.83984375","0.83984375","0.83984375","0.884375","0.884375","0.884375","0.85390625","0.85390625","0.85390625","0.846875","0.846875","0.846875"
"17","0.98828125","0.98828125","0.98828125","0.8421875","0.8421875","0.8421875","0.83828125","0.83828125","0.83828125","0.83828125","0.83828125","0.83828125","0.83828125","0.83828125","0.83828125","0.908984375","0.908984375","0.908984375","0.85078125","0.85078125","0.85078125","0.890625","0.890625","0.890625","0.865625","0.865625","0.865625","0.86015625","0.86015625","0.86015625"
"18","0.98359375","0.98359375","0.98359375","0.8328125","0.8328125","0.8328125","0.830859375","0.830859375","0.830859375","0.830859375","0.830859375","0.830859375","0.830859375","0.830859375","0.830859375","0.90546875","0.90546875","0.90546875","0.839453125","0.839453125","0.839453125","0.883203125","0.883203125","0.883203125","0.862890625","0.862890625","0.862890625","0.848828125","0.848828125","0.848828125"
"19","0.9828125","0.9828125","0.9828125","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.840625","0.9046875","0.9046875","0.9046875","0.855078125","0.855078125","0.855078125","0.887109375","0.887109375","0.887109375","0.869921875","0.869921875","0.869921875","0.861328125","0.861328125","0.861328125"
"20","0.987890625","0.987890625","0.987890625","0.84921875","0.84921875","0.84921875","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.844140625","0.90546875","0.90546875","0.90546875","0.855859375","0.855859375","0.855859375","0.887890625","0.887890625","0.887890625","0.868359375","0.868359375","0.868359375","0.860546875","0.860546875","0.860546875"
"21","0.984765625","0.984765625","0.984765625","0.85078125","0.85078125","0.85078125","0.8484375","0.8484375","0.8484375","0.8484375","0.8484375","0.8484375","0.8484375","0.8484375","0.8484375","0.915625","0.915625","0.915625","0.857421875","0.857421875","0.857421875","0.895703125","0.895703125","0.895703125","0.87265625","0.87265625","0.87265625","0.85859375","0.85859375","0.85859375"
"22","0.990625","0.990625","0.990625","0.82734375","0.82734375","0.82734375","0.823046875","0.823046875","0.823046875","0.823046875","0.823046875","0.823046875","0.823046875","0.823046875","0.823046875","0.9015625","0.9015625","0.9015625","0.840625","0.840625","0.840625","0.8828125","0.8828125","0.8828125","0.852734375","0.852734375","0.852734375","0.840234375","0.840234375","0.840234375"
"23","0.98515625","0.98515625","0.98515625","0.8359375","0.8359375","0.8359375","0.834375","0.834375","0.834375","0.834375","0.834375","0.834375","0.834375","0.834375","0.834375","0.905078125","0.905078125","0.905078125","0.84921875","0.84921875","0.84921875","0.887890625","0.887890625","0.887890625","0.859765625","0.859765625","0.859765625","0.851953125","0.851953125","0.851953125"
"24","0.98828125","0.98828125","0.98828125","0.826171875","0.826171875","0.826171875","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.899609375","0.899609375","0.899609375","0.829296875","0.829296875","0.829296875","0.88125","0.88125","0.88125","0.846484375","0.846484375","0.846484375","0.834375","0.834375","0.834375"
