"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MAX"
"12","0.0029296875","0.0029296875","0.0029296875","-0.052734375","-0.052734375","-0.052734375","-0.05078125","-0.05078125","-0.05078125","-0.05078125","-0.05078125","-0.05078125","-0.05078125","-0.05078125","-0.05078125","-0.0322265625","-0.0322265625","-0.0322265625","-0.04296875","-0.04296875","-0.04296875","-0.041015625","-0.041015625","-0.041015625","-0.046875","-0.046875","-0.046875","-0.0498046875","-0.0498046875","-0.0498046875"
"13","0.0048828125","0.0048828125","0.0048828125","-0.060546875","-0.060546875","-0.060546875","-0.0546875","-0.0546875","-0.0546875","-0.0546875","-0.0546875","-0.0546875","-0.0546875","-0.0546875","-0.0546875","-0.044921875","-0.044921875","-0.044921875","-0.0546875","-0.0546875","-0.0546875","-0.0419921875","-0.0419921875","-0.0419921875","-0.0595703125","-0.0595703125","-0.0595703125","-0.0595703125","-0.0595703125","-0.0595703125"
"14","0.0029296875","0.0029296875","0.0029296875","-0.05859375","-0.05859375","-0.05859375","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0361328125","-0.0361328125","-0.0361328125","-0.05859375","-0.05859375","-0.05859375","-0.041015625","-0.041015625","-0.041015625","-0.0439453125","-0.0439453125","-0.0439453125","-0.0517578125","-0.0517578125","-0.0517578125"
"15","0.00390625","0.00390625","0.00390625","-0.0576171875","-0.0576171875","-0.0576171875","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0263671875","-0.0263671875","-0.0263671875","-0.060546875","-0.060546875","-0.060546875","-0.0341796875","-0.0341796875","-0.0341796875","-0.0439453125","-0.0439453125","-0.0439453125","-0.052734375","-0.052734375","-0.052734375"
"16","-0.0048828125","-0.0048828125","-0.0048828125","-0.0576171875","-0.0576171875","-0.0576171875","-0.0634765625","-0.0634765625","-0.0634765625","-0.0634765625","-0.0634765625","-0.0634765625","-0.0634765625","-0.0634765625","-0.0634765625","-0.0185546875","-0.0185546875","-0.0185546875","-0.0439453125","-0.0439453125","-0.0439453125","-0.0224609375","-0.0224609375","-0.0224609375","-0.0341796875","-0.0341796875","-0.0341796875","-0.0322265625","-0.0322265625","-0.0322265625"
"17","0.0009765625","0.0009765625","0.0009765625","-0.0478515625","-0.0478515625","-0.0478515625","-0.0458984375","-0.0458984375","-0.0458984375","-0.0458984375","-0.0458984375","-0.0458984375","-0.0458984375","-0.0458984375","-0.0458984375","-0.0224609375","-0.0224609375","-0.0224609375","-0.03515625","-0.03515625","-0.03515625","-0.025390625","-0.025390625","-0.025390625","-0.0234375","-0.0234375","-0.0234375","-0.0302734375","-0.0302734375","-0.0302734375"
"18","-0.0009765625","-0.0009765625","-0.0009765625","-0.080078125","-0.080078125","-0.080078125","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.0322265625","-0.0322265625","-0.0322265625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0478515625","-0.0478515625","-0.0478515625","-0.0615234375","-0.0615234375","-0.0615234375","-0.0712890625","-0.0712890625","-0.0712890625"
"19","-0.0048828125","-0.0048828125","-0.0048828125","-0.06640625","-0.06640625","-0.06640625","-0.056640625","-0.056640625","-0.056640625","-0.056640625","-0.056640625","-0.056640625","-0.056640625","-0.056640625","-0.056640625","-0.03125","-0.03125","-0.03125","-0.0634765625","-0.0634765625","-0.0634765625","-0.0341796875","-0.0341796875","-0.0341796875","-0.04296875","-0.04296875","-0.04296875","-0.056640625","-0.056640625","-0.056640625"
"20","-0.00390625","-0.00390625","-0.00390625","-0.078125","-0.078125","-0.078125","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0244140625","-0.0244140625","-0.0244140625","-0.06640625","-0.06640625","-0.06640625","-0.0302734375","-0.0302734375","-0.0302734375","-0.0595703125","-0.0595703125","-0.0595703125","-0.0634765625","-0.0634765625","-0.0634765625"
"21","0","0","0","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0791015625","-0.0234375","-0.0234375","-0.0234375","-0.0703125","-0.0703125","-0.0703125","-0.0390625","-0.0390625","-0.0390625","-0.0576171875","-0.0576171875","-0.0576171875","-0.0712890625","-0.0712890625","-0.0712890625"
