"Step","carot_ema_up_freq_1 - Teacher_student_gt_prob_img","carot_ema_up_freq_1 - Teacher_student_gt_prob_img__MIN","carot_ema_up_freq_1 - Teacher_student_gt_prob_img__MAX","carot_ema_up_freq_500 - Teacher_student_gt_prob_img","carot_ema_up_freq_500 - Teacher_student_gt_prob_img__MIN","carot_ema_up_freq_500 - Teacher_student_gt_prob_img__MAX","pomp_bma_up_freq_2500 - Teacher_student_gt_prob_img","pomp_bma_up_freq_2500 - Teacher_student_gt_prob_img__MIN","pomp_bma_up_freq_2500 - Teacher_student_gt_prob_img__MAX","pomp_bma_up_freq_1000 - Teacher_student_gt_prob_img","pomp_bma_up_freq_1000 - Teacher_student_gt_prob_img__MIN","pomp_bma_up_freq_1000 - Teacher_student_gt_prob_img__MAX","pomp_bma_up_freq_500 - Teacher_student_gt_prob_img","pomp_bma_up_freq_500 - Teacher_student_gt_prob_img__MIN","pomp_bma_up_freq_500 - Teacher_student_gt_prob_img__MAX","pomp_beta_1.5 - Teacher_student_gt_prob_img","pomp_beta_1.5 - Teacher_student_gt_prob_img__MIN","pomp_beta_1.5 - Teacher_student_gt_prob_img__MAX","pomp_bma_up_freq_50 - Teacher_student_gt_prob_img","pomp_bma_up_freq_50 - Teacher_student_gt_prob_img__MIN","pomp_bma_up_freq_50 - Teacher_student_gt_prob_img__MAX","pomp_beta_1.0 - Teacher_student_gt_prob_img","pomp_beta_1.0 - Teacher_student_gt_prob_img__MIN","pomp_beta_1.0 - Teacher_student_gt_prob_img__MAX","pomp_bma_up_freq_5 - Teacher_student_gt_prob_img","pomp_bma_up_freq_5 - Teacher_student_gt_prob_img__MIN","pomp_bma_up_freq_5 - Teacher_student_gt_prob_img__MAX","pomp_beta_0.2 - Teacher_student_gt_prob_img","pomp_beta_0.2 - Teacher_student_gt_prob_img__MIN","pomp_beta_0.2 - Teacher_student_gt_prob_img__MAX"
"2","0.501744270324707","0.501744270324707","0.501744270324707","0.48968976736068726","0.48968976736068726","0.48968976736068726","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.4894709587097168","0.4894709587097168","0.4894709587097168","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.4902017414569855","0.4902017414569855","0.4902017414569855","0.49052271246910095","0.49052271246910095","0.49052271246910095","0.49018213152885437","0.49018213152885437","0.49018213152885437"
"3","0.47370246052742004","0.47370246052742004","0.47370246052742004","0.5079847574234009","0.5079847574234009","0.5079847574234009","0.507948637008667","0.507948637008667","0.507948637008667","0.507948637008667","0.507948637008667","0.507948637008667","0.507948637008667","0.507948637008667","0.507948637008667","0.5084401965141296","0.5084401965141296","0.5084401965141296","0.507948637008667","0.507948637008667","0.507948637008667","0.5085927248001099","0.5085927248001099","0.5085927248001099","0.5083243250846863","0.5083243250846863","0.5083243250846863","0.508585512638092","0.508585512638092","0.508585512638092"
"4","0.4699051082134247","0.4699051082134247","0.4699051082134247","0.4635660946369171","0.4635660946369171","0.4635660946369171","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.464855432510376","0.464855432510376","0.464855432510376","0.4646613597869873","0.4646613597869873","0.4646613597869873","0.4635394811630249","0.4635394811630249","0.4635394811630249","0.46421629190444946","0.46421629190444946","0.46421629190444946","0.46458277106285095","0.46458277106285095","0.46458277106285095"
"5","0.4696909785270691","0.4696909785270691","0.4696909785270691","0.47209545969963074","0.47209545969963074","0.47209545969963074","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4721508324146271","0.4721508324146271","0.4721508324146271","0.4719051718711853","0.4719051718711853","0.4719051718711853","0.4725179970264435","0.4725179970264435","0.4725179970264435","0.47252774238586426","0.47252774238586426","0.47252774238586426","0.4719849228858948","0.4719849228858948","0.4719849228858948"
"6","0.5099171996116638","0.5099171996116638","0.5099171996116638","0.5038059949874878","0.5038059949874878","0.5038059949874878","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5029974579811096","0.5029974579811096","0.5029974579811096","0.5038378238677979","0.5038378238677979","0.5038378238677979","0.5037828683853149","0.5037828683853149","0.5037828683853149","0.504397988319397","0.504397988319397","0.504397988319397","0.5045644640922546","0.5045644640922546","0.5045644640922546"
"7","0.48126107454299927","0.48126107454299927","0.48126107454299927","0.5187108516693115","0.5187108516693115","0.5187108516693115","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5196323394775391","0.5196323394775391","0.5196323394775391","0.5197424292564392","0.5197424292564392","0.5197424292564392","0.5213871598243713","0.5213871598243713","0.5213871598243713","0.5212899446487427","0.5212899446487427","0.5212899446487427","0.5207193493843079","0.5207193493843079","0.5207193493843079"
"8","0.5148056745529175","0.5148056745529175","0.5148056745529175","0.5311154127120972","0.5311154127120972","0.5311154127120972","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5333042144775391","0.5333042144775391","0.5333042144775391","0.5314955711364746","0.5314955711364746","0.5314955711364746","0.5320413112640381","0.5320413112640381","0.5320413112640381","0.5324349403381348","0.5324349403381348","0.5324349403381348","0.5325663685798645","0.5325663685798645","0.5325663685798645"
"9","0.5114338994026184","0.5114338994026184","0.5114338994026184","0.5169282555580139","0.5169282555580139","0.5169282555580139","0.516933262348175","0.516933262348175","0.516933262348175","0.516933262348175","0.516933262348175","0.516933262348175","0.516933262348175","0.516933262348175","0.516933262348175","0.5204563140869141","0.5204563140869141","0.5204563140869141","0.516933262348175","0.516933262348175","0.516933262348175","0.5205463767051697","0.5205463767051697","0.5205463767051697","0.5195993185043335","0.5195993185043335","0.5195993185043335","0.51943039894104","0.51943039894104","0.51943039894104"
"10","0.5120521187782288","0.5120521187782288","0.5120521187782288","0.49880626797676086","0.49880626797676086","0.49880626797676086","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.5031468868255615","0.5031468868255615","0.5031468868255615","0.49914228916168213","0.49914228916168213","0.49914228916168213","0.5019053220748901","0.5019053220748901","0.5019053220748901","0.5015465021133423","0.5015465021133423","0.5015465021133423","0.501247763633728","0.501247763633728","0.501247763633728"
"11","0.5249460339546204","0.5249460339546204","0.5249460339546204","0.5314648747444153","0.5314648747444153","0.5314648747444153","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5398412942886353","0.5398412942886353","0.5398412942886353","0.5320804119110107","0.5320804119110107","0.5320804119110107","0.5390294194221497","0.5390294194221497","0.5390294194221497","0.5367202162742615","0.5367202162742615","0.5367202162742615","0.5361998081207275","0.5361998081207275","0.5361998081207275"
