"Step","tracer_ema_up_freq_1 - Teacher_teacher_avg_confidence_combined","tracer_ema_up_freq_1 - Teacher_teacher_avg_confidence_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_avg_confidence_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_avg_confidence_combined","tracer_ema_up_freq_500 - Teacher_teacher_avg_confidence_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_avg_confidence_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_avg_confidence_combined","tracer_bma_up_freq_2500 - Teacher_teacher_avg_confidence_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_avg_confidence_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_avg_confidence_combined","tracer_bma_up_freq_1000 - Teacher_teacher_avg_confidence_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_avg_confidence_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_avg_confidence_combined","tracer_bma_up_freq_500 - Teacher_teacher_avg_confidence_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_avg_confidence_combined__MAX","tracer_beta_1.5 - Teacher_teacher_avg_confidence_combined","tracer_beta_1.5 - Teacher_teacher_avg_confidence_combined__MIN","tracer_beta_1.5 - Teacher_teacher_avg_confidence_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_avg_confidence_combined","tracer_bma_up_freq_50 - Teacher_teacher_avg_confidence_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_avg_confidence_combined__MAX","tracer_beta_1.0 - Teacher_teacher_avg_confidence_combined","tracer_beta_1.0 - Teacher_teacher_avg_confidence_combined__MIN","tracer_beta_1.0 - Teacher_teacher_avg_confidence_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_avg_confidence_combined","tracer_bma_up_freq_5 - Teacher_teacher_avg_confidence_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_avg_confidence_combined__MAX","tracer_beta_0.2 - Teacher_teacher_avg_confidence_combined","tracer_beta_0.2 - Teacher_teacher_avg_confidence_combined__MIN","tracer_beta_0.2 - Teacher_teacher_avg_confidence_combined__MAX"
"2","0.6914627552032471","0.6914627552032471","0.6914627552032471","0.6931551694869995","0.6931551694869995","0.6931551694869995","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6943274736404419","0.6943274736404419","0.6943274736404419","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6943203210830688","0.6943203210830688","0.6943203210830688","0.6930599212646484","0.6930599212646484","0.6930599212646484","0.6941301226615906","0.6941301226615906","0.6941301226615906"
"3","0.6790182590484619","0.6790182590484619","0.6790182590484619","0.6830729246139526","0.6830729246139526","0.6830729246139526","0.683059811592102","0.683059811592102","0.683059811592102","0.683059811592102","0.683059811592102","0.683059811592102","0.683059811592102","0.683059811592102","0.683059811592102","0.6855271458625793","0.6855271458625793","0.6855271458625793","0.683059811592102","0.683059811592102","0.683059811592102","0.6863998174667358","0.6863998174667358","0.6863998174667358","0.6858198046684265","0.6858198046684265","0.6858198046684265","0.6855517625808716","0.6855517625808716","0.6855517625808716"
"4","0.6698833107948303","0.6698833107948303","0.6698833107948303","0.6613123416900635","0.6613123416900635","0.6613123416900635","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6643821597099304","0.6643821597099304","0.6643821597099304","0.6615750193595886","0.6615750193595886","0.6615750193595886","0.6648561954498291","0.6648561954498291","0.6648561954498291","0.6639647483825684","0.6639647483825684","0.6639647483825684","0.664359450340271","0.664359450340271","0.664359450340271"
"5","0.6640415191650391","0.6640415191650391","0.6640415191650391","0.6545266509056091","0.6545266509056091","0.6545266509056091","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6562382578849792","0.6562382578849792","0.6562382578849792","0.6549181938171387","0.6549181938171387","0.6549181938171387","0.6564611196517944","0.6564611196517944","0.6564611196517944","0.6556693911552429","0.6556693911552429","0.6556693911552429","0.6553983092308044","0.6553983092308044","0.6553983092308044"
"6","0.6826463341712952","0.6826463341712952","0.6826463341712952","0.6773261427879333","0.6773261427879333","0.6773261427879333","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6792190074920654","0.6792190074920654","0.6792190074920654","0.6768105030059814","0.6768105030059814","0.6768105030059814","0.6806013584136963","0.6806013584136963","0.6806013584136963","0.680560827255249","0.680560827255249","0.680560827255249","0.6793426275253296","0.6793426275253296","0.6793426275253296"
"7","0.6727304458618164","0.6727304458618164","0.6727304458618164","0.681034505367279","0.681034505367279","0.681034505367279","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6821509599685669","0.6821509599685669","0.6821509599685669","0.6808573007583618","0.6808573007583618","0.6808573007583618","0.6822844743728638","0.6822844743728638","0.6822844743728638","0.6816386580467224","0.6816386580467224","0.6816386580467224","0.6821461915969849","0.6821461915969849","0.6821461915969849"
"8","0.685937762260437","0.685937762260437","0.685937762260437","0.6869076490402222","0.6869076490402222","0.6869076490402222","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.694235622882843","0.694235622882843","0.694235622882843","0.6868240833282471","0.6868240833282471","0.6868240833282471","0.6936496496200562","0.6936496496200562","0.6936496496200562","0.6920017600059509","0.6920017600059509","0.6920017600059509","0.6923525333404541","0.6923525333404541","0.6923525333404541"
"9","0.6787641048431396","0.6787641048431396","0.6787641048431396","0.675818681716919","0.675818681716919","0.675818681716919","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6843866109848022","0.6843866109848022","0.6843866109848022","0.6761952638626099","0.6761952638626099","0.6761952638626099","0.6835525035858154","0.6835525035858154","0.6835525035858154","0.6813531517982483","0.6813531517982483","0.6813531517982483","0.6816803216934204","0.6816803216934204","0.6816803216934204"
"10","0.6748610734939575","0.6748610734939575","0.6748610734939575","0.6655454039573669","0.6655454039573669","0.6655454039573669","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.6734400987625122","0.6734400987625122","0.6734400987625122","0.6655386090278625","0.6655386090278625","0.6655386090278625","0.672942042350769","0.672942042350769","0.672942042350769","0.6711219549179077","0.6711219549179077","0.6711219549179077","0.6707949638366699","0.6707949638366699","0.6707949638366699"
"11","0.6835683584213257","0.6835683584213257","0.6835683584213257","0.6762897968292236","0.6762897968292236","0.6762897968292236","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6894912719726562","0.6894912719726562","0.6894912719726562","0.6766124367713928","0.6766124367713928","0.6766124367713928","0.6867930889129639","0.6867930889129639","0.6867930889129639","0.6836123466491699","0.6836123466491699","0.6836123466491699","0.6829044818878174","0.6829044818878174","0.6829044818878174"
