"Step","tracer_ema_up_freq_1 - Teacher_teacher_gt_prob_img","tracer_ema_up_freq_1 - Teacher_teacher_gt_prob_img__MIN","tracer_ema_up_freq_1 - Teacher_teacher_gt_prob_img__MAX","tracer_ema_up_freq_500 - Teacher_teacher_gt_prob_img","tracer_ema_up_freq_500 - Teacher_teacher_gt_prob_img__MIN","tracer_ema_up_freq_500 - Teacher_teacher_gt_prob_img__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_gt_prob_img","tracer_bma_up_freq_2500 - Teacher_teacher_gt_prob_img__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_gt_prob_img__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_gt_prob_img","tracer_bma_up_freq_1000 - Teacher_teacher_gt_prob_img__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_gt_prob_img__MAX","tracer_bma_up_freq_500 - Teacher_teacher_gt_prob_img","tracer_bma_up_freq_500 - Teacher_teacher_gt_prob_img__MIN","tracer_bma_up_freq_500 - Teacher_teacher_gt_prob_img__MAX","tracer_beta_1.5 - Teacher_teacher_gt_prob_img","tracer_beta_1.5 - Teacher_teacher_gt_prob_img__MIN","tracer_beta_1.5 - Teacher_teacher_gt_prob_img__MAX","tracer_bma_up_freq_50 - Teacher_teacher_gt_prob_img","tracer_bma_up_freq_50 - Teacher_teacher_gt_prob_img__MIN","tracer_bma_up_freq_50 - Teacher_teacher_gt_prob_img__MAX","tracer_beta_1.0 - Teacher_teacher_gt_prob_img","tracer_beta_1.0 - Teacher_teacher_gt_prob_img__MIN","tracer_beta_1.0 - Teacher_teacher_gt_prob_img__MAX","tracer_bma_up_freq_5 - Teacher_teacher_gt_prob_img","tracer_bma_up_freq_5 - Teacher_teacher_gt_prob_img__MIN","tracer_bma_up_freq_5 - Teacher_teacher_gt_prob_img__MAX","tracer_beta_0.2 - Teacher_teacher_gt_prob_img","tracer_beta_0.2 - Teacher_teacher_gt_prob_img__MIN","tracer_beta_0.2 - Teacher_teacher_gt_prob_img__MAX"
"2","0.5009458065032959","0.5009458065032959","0.5009458065032959","0.4838902950286865","0.4838902950286865","0.4838902950286865","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4896736443042755","0.4896736443042755","0.4896736443042755","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.4893583655357361","0.4893583655357361","0.4893583655357361","0.4839426577091217","0.4839426577091217","0.4839426577091217","0.48904114961624146","0.48904114961624146","0.48904114961624146"
"3","0.47398072481155396","0.47398072481155396","0.47398072481155396","0.5023065805435181","0.5023065805435181","0.5023065805435181","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5076289772987366","0.5076289772987366","0.5076289772987366","0.5016028881072998","0.5016028881072998","0.5016028881072998","0.5081014037132263","0.5081014037132263","0.5081014037132263","0.5079218149185181","0.5079218149185181","0.5079218149185181","0.507347583770752","0.507347583770752","0.507347583770752"
"4","0.4697618782520294","0.4697618782520294","0.4697618782520294","0.45422375202178955","0.45422375202178955","0.45422375202178955","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.46228596568107605","0.46228596568107605","0.46228596568107605","0.4545809030532837","0.4545809030532837","0.4545809030532837","0.46266403794288635","0.46266403794288635","0.46266403794288635","0.46238479018211365","0.46238479018211365","0.46238479018211365","0.46189266443252563","0.46189266443252563","0.46189266443252563"
"5","0.4700256884098053","0.4700256884098053","0.4700256884098053","0.4594323933124542","0.4594323933124542","0.4594323933124542","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.46710753440856934","0.46710753440856934","0.46710753440856934","0.4595568776130676","0.4595568776130676","0.4595568776130676","0.4668827950954437","0.4668827950954437","0.4668827950954437","0.46631044149398804","0.46631044149398804","0.46631044149398804","0.4654301702976227","0.4654301702976227","0.4654301702976227"
"6","0.509335994720459","0.509335994720459","0.509335994720459","0.48675477504730225","0.48675477504730225","0.48675477504730225","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.49570322036743164","0.49570322036743164","0.49570322036743164","0.4860933721065521","0.4860933721065521","0.4860933721065521","0.4946713447570801","0.4946713447570801","0.4946713447570801","0.49387896060943604","0.49387896060943604","0.49387896060943604","0.4937061667442322","0.4937061667442322","0.4937061667442322"
"7","0.4811354875564575","0.4811354875564575","0.4811354875564575","0.4942924380302429","0.4942924380302429","0.4942924380302429","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.5063457489013672","0.5063457489013672","0.5063457489013672","0.4939829111099243","0.4939829111099243","0.4939829111099243","0.5057008266448975","0.5057008266448975","0.5057008266448975","0.5039198398590088","0.5039198398590088","0.5039198398590088","0.5028908252716064","0.5028908252716064","0.5028908252716064"
"8","0.5143301486968994","0.5143301486968994","0.5143301486968994","0.4918166399002075","0.4918166399002075","0.4918166399002075","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.5108350515365601","0.5108350515365601","0.5108350515365601","0.49132847785949707","0.49132847785949707","0.49132847785949707","0.5071003437042236","0.5071003437042236","0.5071003437042236","0.5014258623123169","0.5014258623123169","0.5014258623123169","0.5013861656188965","0.5013861656188965","0.5013861656188965"
"9","0.5106713771820068","0.5106713771820068","0.5106713771820068","0.47168588638305664","0.47168588638305664","0.47168588638305664","0.471024751663208","0.471024751663208","0.471024751663208","0.471024751663208","0.471024751663208","0.471024751663208","0.471024751663208","0.471024751663208","0.471024751663208","0.49424856901168823","0.49424856901168823","0.49424856901168823","0.471024751663208","0.471024751663208","0.471024751663208","0.49091389775276184","0.49091389775276184","0.49091389775276184","0.48377105593681335","0.48377105593681335","0.48377105593681335","0.4823843240737915","0.4823843240737915","0.4823843240737915"
"10","0.511024534702301","0.511024534702301","0.511024534702301","0.45459413528442383","0.45459413528442383","0.45459413528442383","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4782439172267914","0.4782439172267914","0.4782439172267914","0.4556954503059387","0.4556954503059387","0.4556954503059387","0.4743960499763489","0.4743960499763489","0.4743960499763489","0.4678219258785248","0.4678219258785248","0.4678219258785248","0.4660990834236145","0.4660990834236145","0.4660990834236145"
"11","0.525246798992157","0.525246798992157","0.525246798992157","0.48134538531303406","0.48134538531303406","0.48134538531303406","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.5142756700515747","0.5142756700515747","0.5142756700515747","0.48084408044815063","0.48084408044815063","0.48084408044815063","0.5050411224365234","0.5050411224365234","0.5050411224365234","0.495748370885849","0.495748370885849","0.495748370885849","0.4939960241317749","0.4939960241317749","0.4939960241317749"
