"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MAX"
"12","0.9833984375","0.9833984375","0.9833984375","0.8603515625","0.8603515625","0.8603515625","0.8525390625","0.8525390625","0.8525390625","0.8525390625","0.8525390625","0.8525390625","0.8525390625","0.8525390625","0.8525390625","0.912109375","0.912109375","0.912109375","0.8671875","0.8671875","0.8671875","0.8896484375","0.8896484375","0.8896484375","0.876953125","0.876953125","0.876953125","0.8701171875","0.8701171875","0.8701171875"
"13","0.9853515625","0.9853515625","0.9853515625","0.84375","0.84375","0.84375","0.8427734375","0.8427734375","0.8427734375","0.8427734375","0.8427734375","0.8427734375","0.8427734375","0.8427734375","0.8427734375","0.8896484375","0.8896484375","0.8896484375","0.8564453125","0.8564453125","0.8564453125","0.8759765625","0.8759765625","0.8759765625","0.853515625","0.853515625","0.853515625","0.8408203125","0.8408203125","0.8408203125"
"14","0.9873046875","0.9873046875","0.9873046875","0.853515625","0.853515625","0.853515625","0.8447265625","0.8447265625","0.8447265625","0.8447265625","0.8447265625","0.8447265625","0.8447265625","0.8447265625","0.8447265625","0.9130859375","0.9130859375","0.9130859375","0.865234375","0.865234375","0.865234375","0.892578125","0.892578125","0.892578125","0.8720703125","0.8720703125","0.8720703125","0.8642578125","0.8642578125","0.8642578125"
"15","0.98046875","0.98046875","0.98046875","0.8603515625","0.8603515625","0.8603515625","0.8486328125","0.8486328125","0.8486328125","0.8486328125","0.8486328125","0.8486328125","0.8486328125","0.8486328125","0.8486328125","0.927734375","0.927734375","0.927734375","0.873046875","0.873046875","0.873046875","0.900390625","0.900390625","0.900390625","0.8798828125","0.8798828125","0.8798828125","0.8798828125","0.8798828125","0.8798828125"
"16","0.9814453125","0.9814453125","0.9814453125","0.8388671875","0.8388671875","0.8388671875","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.84765625","0.9150390625","0.9150390625","0.9150390625","0.869140625","0.869140625","0.869140625","0.9140625","0.9140625","0.9140625","0.87890625","0.87890625","0.87890625","0.876953125","0.876953125","0.876953125"
"17","0.978515625","0.978515625","0.978515625","0.8408203125","0.8408203125","0.8408203125","0.849609375","0.849609375","0.849609375","0.849609375","0.849609375","0.849609375","0.849609375","0.849609375","0.849609375","0.923828125","0.923828125","0.923828125","0.8583984375","0.8583984375","0.8583984375","0.9072265625","0.9072265625","0.9072265625","0.8779296875","0.8779296875","0.8779296875","0.873046875","0.873046875","0.873046875"
"18","0.984375","0.984375","0.984375","0.8427734375","0.8427734375","0.8427734375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.9091796875","0.9091796875","0.9091796875","0.849609375","0.849609375","0.849609375","0.8955078125","0.8955078125","0.8955078125","0.87109375","0.87109375","0.87109375","0.8662109375","0.8662109375","0.8662109375"
"19","0.98046875","0.98046875","0.98046875","0.8583984375","0.8583984375","0.8583984375","0.8623046875","0.8623046875","0.8623046875","0.8623046875","0.8623046875","0.8623046875","0.8623046875","0.8623046875","0.8623046875","0.919921875","0.919921875","0.919921875","0.8701171875","0.8701171875","0.8701171875","0.904296875","0.904296875","0.904296875","0.89453125","0.89453125","0.89453125","0.884765625","0.884765625","0.884765625"
"20","0.9794921875","0.9794921875","0.9794921875","0.8271484375","0.8271484375","0.8271484375","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.9072265625","0.9072265625","0.9072265625","0.8486328125","0.8486328125","0.8486328125","0.8994140625","0.8994140625","0.8994140625","0.859375","0.859375","0.859375","0.8505859375","0.8505859375","0.8505859375"
"21","0.9873046875","0.9873046875","0.9873046875","0.833984375","0.833984375","0.833984375","0.8388671875","0.8388671875","0.8388671875","0.8388671875","0.8388671875","0.8388671875","0.8388671875","0.8388671875","0.8388671875","0.9140625","0.9140625","0.9140625","0.84765625","0.84765625","0.84765625","0.8984375","0.8984375","0.8984375","0.8681640625","0.8681640625","0.8681640625","0.8525390625","0.8525390625","0.8525390625"
